hospital_name,hospital_url,province
宣武医院,https://www.haodf.com/hospital/DE4raCNSz6O0h1aaH6PKRH5e.htm,beijing
北京友谊医院,https://www.haodf.com/hospital/DE4raCNSz6O0K3OUNZWCWNv0.htm,beijing
阜外医院,https://www.haodf.com/hospital/DE4raCNSz6ONZORxEH4FVECt.htm,beijing
北京儿童医院,https://www.haodf.com/hospital/DE4raCNSz6ONgokwMDQuPMuk.htm,beijing
北京积水潭医院,https://www.haodf.com/hospital/DE4raCNSz6OWZplJ2IkvT2YR.htm,beijing
广安门医院,https://www.haodf.com/hospital/DE4roiYGYZwXwnIKBtDEBxt8k.htm,beijing
首都医科大学附属复兴医院,https://www.haodf.com/hospital/DE4raCNSz6OWgORxEH4FVECt.htm,beijing
北京262医院,https://www.haodf.com/hospital/DE4roiYGYZw0xXIKBtDEBxt8k.htm,beijing
北京安定医院,https://www.haodf.com/hospital/DE4raCNSz6ONwplJ2IkvT2YR.htm,beijing
护国寺中医院,https://www.haodf.com/hospital/DE4rO-XCoLUXKaR-bc1P6dS2aO.htm,beijing
北京市肛肠医院,https://www.haodf.com/hospital/DE4raCNSz6OWx1aaH6PKRH5e.htm,beijing
北京305医院,https://www.haodf.com/hospital/DE4roiYGYZw0haOyZJ9SvRJb8.htm,beijing
北大口腔医院第一门诊部,https://www.haodf.com/hospital/DE4r0Fy0C9LuSlgQSj9-XRiUuDINgIYJg.htm,beijing
北京按摩医院,https://www.haodf.com/hospital/DE4raCNSz6OWTaQTyscBtyq4.htm,beijing
宣武中医院,https://www.haodf.com/hospital/DE4roiYGYZwmJO7o5nM-zfnJT.htm,beijing
北京市第二医院,https://www.haodf.com/hospital/DE4rO-XCoLUXxEXQ4wkiNDMHtx.htm,beijing
西城区妇幼保健院,https://www.haodf.com/hospital/DE4raCNSz6O0C5b7qp0yaqEm.htm,beijing
北京市回民医院,https://www.haodf.com/hospital/DE4r0Fy0C9LuwXhnNGIaw1deozGolC54J.htm,beijing
北京市西城区平安医院,https://www.haodf.com/hospital/DE4r0Fy0C9LuGRxWC79ghqBf3o2p0zvkj.htm,beijing
西城区展览路医院,https://www.haodf.com/hospital/DE4r0Fy0C9LuwNwXibO5EEmiZLC3b3s8R.htm,beijing
白纸坊社区卫生服务中心,https://www.haodf.com/hospital/DE4r0Fy0C9LuwNgMZlG9b1PTs3BGmMGOc.htm,beijing
